rank,product_id,category,unique_users,views,add_to_carts,purchases,view_to_cart_rate,view_to_purchase_rate,cart_to_purchase_rate,total_revenue,avg_price,revenue_per_user,revenue_per_view,events_per_user
1,461686,Top Performer,1497,2538,304,133,11.98,5.24,43.75,34781.58,261.5156390977444,23.23,13.7,1.99
2,119736,Top Performer,303,752,44,97,5.85,12.9,220.45,25282.27,260.6419587628866,83.44,33.62,2.95
3,213834,Top Performer,273,293,17,92,5.8,31.4,541.18,22802.08,247.84869565217397,83.52,77.82,1.47
4,445351,Top Performer,652,939,89,45,9.48,4.79,50.56,11453.55,254.5233333333333,17.57,12.2,1.65
5,409804,Top Performer,481,647,152,35,23.49,5.41,23.03,11335.82,323.88057142857144,23.57,17.52,1.73
6,7943,Top Performer,881,1346,97,46,7.21,3.42,47.42,11117.31,241.68065217391305,12.62,8.26,1.69
7,248455,Top Performer,308,575,52,38,9.04,6.61,73.08,10982.22,289.0057894736842,35.66,19.1,2.16
8,420960,Top Performer,394,795,60,38,7.55,4.78,63.33,10591.4,278.7210526315789,26.88,13.32,2.27
9,312728,Top Performer,671,947,161,46,17.0,4.86,28.57,10416.84,226.45304347826087,15.52,11.0,1.72
10,48030,Top Performer,654,986,95,41,9.63,4.16,43.16,9917.73,241.89585365853657,15.16,10.06,1.72
11,17478,Top Performer,396,631,72,37,11.41,5.86,51.39,9071.01,245.16243243243244,22.91,14.38,1.87
12,416017,Top Performer,195,393,49,32,12.47,8.14,65.31,8721.960000000001,272.56125000000003,44.73,22.19,2.43
13,334401,Top Performer,168,200,8,28,4.0,14.0,350.0,7975.93,284.8546428571429,47.48,39.88,1.4
14,369447,Top Performer,627,1103,80,31,7.25,2.81,38.75,7885.49,254.37064516129035,12.58,7.15,1.94
15,268883,Top Performer,347,597,52,29,8.71,4.86,55.77,7613.51,262.5348275862069,21.94,12.75,1.95
16,441852,Top Performer,667,860,90,27,10.47,3.14,30.0,7441.3,275.60370370370373,11.16,8.65,1.46
17,46156,Top Performer,299,468,52,31,11.11,6.62,59.62,7436.7,239.8935483870968,24.87,15.89,1.84
18,320130,Top Performer,918,1333,141,33,10.58,2.48,23.4,7222.97,218.8778787878788,7.87,5.42,1.64
19,257040,Top Performer,1017,1531,89,27,5.81,1.76,30.34,6929.95,256.6648148148148,6.81,4.53,1.62
20,37029,Top Performer,796,1131,71,25,6.28,2.21,35.21,6422.21,256.8884,8.07,5.68,1.54
21,9877,Top Performer,503,1067,70,25,6.56,2.34,35.71,6286.66,251.4664,12.5,5.89,2.31
22,318333,Top Performer,427,558,44,23,7.89,4.12,52.27,5788.43,251.6708695652174,13.56,10.37,1.46
23,138427,Top Performer,443,626,34,20,5.43,3.19,58.82,5527.16,276.358,12.48,8.83,1.53
24,190000,Top Performer,873,1164,47,20,4.04,1.72,42.55,5441.21,272.0605,6.23,4.67,1.41
25,450082,Top Performer,268,435,33,22,7.59,5.06,66.67,5172.08,235.09454545454545,19.3,11.89,1.83
26,369158,Top Performer,330,419,25,19,5.97,4.53,76.0,5145.82,270.83263157894737,15.59,12.28,1.4
27,46232,Top Performer,493,610,72,19,11.8,3.11,26.39,5135.87,270.30894736842106,10.42,8.42,1.42
28,546,Top Performer,320,589,45,23,7.64,3.9,51.11,5093.59,221.4604347826087,15.92,8.65,2.05
29,384302,High Revenue,1175,1528,65,15,4.25,0.98,23.08,5085.86,339.0573333333333,4.33,3.33,1.37
30,417927,Top Performer,191,363,34,18,9.37,4.96,52.94,4870.8,270.6,25.5,13.42,2.17
31,29196,Top Performer,670,912,135,19,14.8,2.08,14.07,4825.92,253.99578947368423,7.2,5.29,1.59
32,444190,Top Performer,236,336,52,15,15.48,4.46,28.85,4815.43,321.0286666666667,20.4,14.33,1.71
33,10572,Top Performer,220,283,52,19,18.37,6.71,36.54,4811.02,253.2115789473684,21.87,17.0,1.61
34,222888,Top Performer,230,414,58,20,14.01,4.83,34.48,4796.37,239.8185,20.85,11.59,2.14
35,301721,Top Performer,238,270,35,18,12.96,6.67,51.43,4694.6,260.8111111111112,19.73,17.39,1.36
36,372188,Top Performer,256,363,26,14,7.16,3.86,53.85,4531.83,323.70214285714286,17.7,12.48,1.57
37,12217,Top Performer,661,839,44,13,5.24,1.55,29.55,4384.639999999999,337.28,6.63,5.23,1.36
38,369933,Top Performer,213,298,29,17,9.73,5.7,58.62,4289.67,252.33352941176472,20.14,14.39,1.62
39,368403,Top Performer,171,366,24,14,6.56,3.83,58.33,4283.27,305.9478571428572,25.05,11.7,2.36
40,288525,Top Performer,170,178,20,16,11.24,8.99,80.0,4232.23,264.514375,24.9,23.78,1.26
41,379520,Top Performer,284,495,37,17,7.47,3.43,45.95,4215.17,247.95117647058825,14.84,8.52,1.93
42,382885,Top Performer,100,232,23,19,9.91,8.19,82.61,4159.1,218.9,41.59,17.93,2.74
43,92466,Top Performer,144,181,30,16,16.57,8.84,53.33,4137.35,258.584375,28.73,22.86,1.58
44,42002,Top Performer,267,448,23,16,5.13,3.57,69.57,3997.17,249.823125,14.97,8.92,1.82
45,210087,Top Performer,243,365,20,12,5.48,3.29,60.0,3979.43,331.6191666666667,16.38,10.9,1.63
46,315543,Top Performer,577,1043,46,14,4.41,1.34,30.43,3956.92,282.63714285714286,6.86,3.79,1.91
47,153778,Top Performer,410,581,27,14,4.65,2.41,51.85,3943.91,281.7078571428571,9.62,6.79,1.52
48,170262,Top Performer,285,356,31,15,8.71,4.21,48.39,3923.19,261.546,13.77,11.02,1.41
49,217605,Top Performer,148,232,23,19,9.91,8.19,82.61,3878.55,204.1342105263158,26.21,16.72,1.85
50,309778,High Revenue,1072,1565,48,15,3.07,0.96,31.25,3864.52,257.63466666666665,3.6,2.47,1.52
51,256146,Top Performer,112,130,24,14,18.46,10.77,58.33,3699.03,264.2164285714286,33.03,28.45,1.5
52,339703,Top Performer,479,614,61,9,9.93,1.47,14.75,3669.66,407.74,7.66,5.98,1.43
53,234255,Top Performer,1008,1214,77,16,6.34,1.32,20.78,3663.51,228.969375,3.63,3.02,1.3
54,448453,Top Performer,277,456,32,16,7.02,3.51,50.0,3651.09,228.193125,13.18,8.01,1.82
55,290999,Top Performer,735,928,32,12,3.45,1.29,37.5,3622.04,301.83666666666664,4.93,3.9,1.32
56,100282,Top Performer,285,365,26,12,7.12,3.29,46.15,3595.04,299.58666666666664,12.61,9.85,1.41
57,316753,Top Performer,551,696,84,14,12.07,2.01,16.67,3569.32,254.95142857142855,6.48,5.13,1.44
58,65273,Top Performer,801,1076,63,13,5.86,1.21,20.63,3564.08,274.16,4.45,3.31,1.44
59,172894,Top Performer,254,403,25,13,6.2,3.23,52.0,3558.14,273.70307692307694,14.01,8.83,1.74
60,246532,Top Performer,80,113,15,11,13.27,9.73,73.33,3540.34,321.84909090909093,44.25,31.33,1.74
61,460553,Top Performer,138,194,17,13,8.76,6.7,76.47,3532.48,271.72923076923075,25.6,18.21,1.62
62,80858,Top Performer,107,177,25,12,14.12,6.78,48.0,3506.38,292.1983333333333,32.77,19.81,2.0
63,340375,Top Performer,261,355,30,11,8.45,3.1,36.67,3341.3900000000003,303.7627272727273,12.8,9.41,1.52
64,23762,Top Performer,320,521,36,15,6.91,2.88,41.67,3321.76,221.45066666666668,10.38,6.38,1.79
65,186702,Top Performer,127,162,11,12,6.79,7.41,109.09,3286.68,273.89,25.88,20.29,1.46
66,228392,Top Performer,327,418,18,10,4.31,2.39,55.56,3263.6,326.36,9.98,7.81,1.36
67,122604,Top Performer,576,709,48,13,6.77,1.83,27.08,3256.26,250.48153846153843,5.65,4.59,1.34
68,211418,Top Performer,164,249,26,10,10.44,4.02,38.46,3255.69,325.569,19.85,13.08,1.74
69,51354,Top Performer,217,352,19,11,5.4,3.12,57.89,3248.4,295.3090909090909,14.97,9.23,1.76
70,231482,Top Performer,571,734,39,12,5.31,1.63,30.77,3236.27,269.68916666666667,5.67,4.41,1.37
71,266900,Top Performer,510,746,35,12,4.69,1.61,34.29,3225.84,268.82,6.33,4.32,1.55
72,91888,Top Performer,138,198,20,11,10.1,5.56,55.0,3207.57,291.59727272727275,23.24,16.2,1.66
73,132683,Top Performer,313,422,38,15,9.0,3.55,39.47,3199.03,213.26866666666663,10.22,7.58,1.52
74,171878,Top Performer,271,391,46,13,11.76,3.32,28.26,3198.45,246.03461538461536,11.8,8.18,1.66
75,57245,Top Performer,138,218,17,11,7.8,5.05,64.71,3189.64,289.9672727272727,23.11,14.63,1.78
76,140527,Top Performer,92,111,31,12,27.93,10.81,38.71,3149.7,262.475,34.24,28.38,1.67
77,315545,Top Performer,649,874,20,11,2.29,1.26,55.0,3128.5,284.40909090909093,4.82,3.58,1.39
78,399192,Top Performer,81,152,18,12,11.84,7.89,66.67,3107.24,258.93666666666667,38.36,20.44,2.25
79,465522,Top Performer,209,290,23,10,7.93,3.45,43.48,3082.95,308.295,14.75,10.63,1.55
80,167769,Top Performer,110,170,12,9,7.06,5.29,75.0,3068.89,340.9877777777777,27.9,18.05,1.74
81,355994,Top Performer,506,680,34,13,5.0,1.91,38.24,3064.85,235.7576923076923,6.06,4.51,1.44
82,448494,Top Performer,166,199,18,10,9.05,5.03,55.56,3064.37,306.437,18.46,15.4,1.37
83,330469,Top Performer,102,151,19,10,12.58,6.62,52.63,3057.09,305.709,29.97,20.25,1.76
84,379953,Top Performer,68,67,15,11,22.39,16.42,73.33,3054.49,277.6809090909091,44.92,45.59,1.37
85,354881,Top Performer,129,211,26,12,12.32,5.69,46.15,3047.57,253.96416666666667,23.62,14.44,1.93
86,92361,Top Performer,238,286,24,10,8.39,3.5,41.67,3040.26,304.026,12.77,10.63,1.34
87,241555,Top Performer,466,907,40,13,4.41,1.43,32.5,3013.94,231.84153846153848,6.47,3.32,2.06
88,464731,Top Performer,300,472,30,10,6.36,2.12,33.33,3007.11,300.711,10.02,6.37,1.71
89,165337,Top Performer,154,235,13,10,5.53,4.26,76.92,3006.71,300.671,19.52,12.79,1.68
90,299222,Top Performer,529,640,34,11,5.31,1.72,32.35,2969.5,269.95454545454544,5.61,4.64,1.29
91,120098,Top Performer,115,165,24,10,14.55,6.06,41.67,2966.4700000000003,296.64700000000005,25.8,17.98,1.73
92,338660,Top Performer,392,525,27,10,5.14,1.9,37.04,2947.83,294.783,7.52,5.61,1.43
93,133907,Top Performer,747,909,29,10,3.19,1.1,34.48,2929.31,292.931,3.92,3.22,1.27
94,358895,Top Performer,68,151,13,11,8.61,7.28,84.62,2924.45,265.85909090909087,43.01,19.37,2.57
95,436694,Top Performer,92,155,15,10,9.68,6.45,66.67,2911.01,291.101,31.64,18.78,1.96
96,29757,Top Performer,172,222,41,9,18.47,4.05,21.95,2899.69,322.1877777777778,16.86,13.06,1.58
97,303715,Top Performer,586,810,28,9,3.46,1.11,32.14,2897.31,321.92333333333335,4.94,3.58,1.45
98,321089,Top Performer,115,128,12,11,9.38,8.59,91.67,2888.88,262.62545454545455,25.12,22.57,1.31
99,116624,Top Performer,252,363,16,9,4.41,2.48,56.25,2859.5,317.72222222222223,11.35,7.88,1.54
100,150215,Top Performer,116,162,11,9,6.79,5.56,81.82,2853.92,317.1022222222222,24.6,17.62,1.57
101,180751,Top Performer,317,378,40,7,10.58,1.85,17.5,2849.09,407.0128571428572,8.99,7.54,1.34
102,38965,Top Performer,291,589,29,10,4.92,1.7,34.48,2809.45,280.945,9.65,4.77,2.16
103,60980,Top Performer,161,300,15,9,5.0,3.0,60.0,2795.55,310.6166666666667,17.36,9.32,2.01
104,316472,Top Performer,210,318,23,14,7.23,4.4,60.87,2790.79,199.34214285714285,13.29,8.78,1.69
105,449391,Top Performer,149,189,21,12,11.11,6.35,57.14,2783.5,231.95833333333331,18.68,14.73,1.49
106,176484,Top Performer,96,162,20,11,12.35,6.79,55.0,2763.55,251.2318181818182,28.79,17.06,2.01
107,325310,Top Performer,315,716,37,11,5.17,1.54,29.73,2749.12,249.92,8.73,3.84,2.43
108,204494,Top Performer,342,482,26,10,5.39,2.07,38.46,2747.18,274.718,8.03,5.7,1.51
109,118914,Top Performer,424,519,12,9,2.31,1.73,75.0,2730.44,303.38222222222225,6.44,5.26,1.27
110,212006,Top Performer,173,226,11,7,4.87,3.1,63.64,2729.1,389.87142857142857,15.78,12.08,1.41
111,303229,Top Performer,116,157,34,9,21.66,5.73,26.47,2710.99,301.2211111111111,23.37,17.27,1.72
112,310944,Top Performer,218,368,26,12,7.07,3.26,46.15,2698.93,224.91083333333333,12.38,7.33,1.86
113,369112,Top Performer,81,117,14,9,11.97,7.69,64.29,2683.16,298.12888888888887,33.13,22.93,1.73
114,324290,Top Performer,136,238,20,12,8.4,5.04,60.0,2665.02,222.085,19.6,11.2,1.99
115,454818,Top Performer,426,498,30,10,6.02,2.01,33.33,2636.98,263.698,6.19,5.3,1.26
116,179601,Top Performer,576,733,29,11,3.96,1.5,37.93,2619.1,238.1,4.55,3.57,1.34
117,398489,Top Performer,203,249,24,10,9.64,4.02,41.67,2618.54,261.854,12.9,10.52,1.39
118,340921,Top Performer,141,211,16,9,7.58,4.27,56.25,2617.02,290.78,18.56,12.4,1.67
119,278679,Top Performer,81,141,10,8,7.09,5.67,80.0,2612.84,326.605,32.26,18.53,1.96
120,350384,Top Performer,155,233,29,14,12.45,6.01,48.28,2611.18,186.51285714285717,16.85,11.21,1.78
121,218794,Top Performer,352,465,45,11,9.68,2.37,24.44,2610.45,237.31363636363636,7.42,5.61,1.48
122,268081,Top Performer,223,269,17,8,6.32,2.97,47.06,2610.0,326.25,11.7,9.7,1.32
123,289103,Top Performer,371,486,14,9,2.88,1.85,64.29,2606.51,289.6122222222223,7.03,5.36,1.37
124,436004,Top Performer,282,359,14,6,3.9,1.67,42.86,2604.7000000000003,434.11666666666673,9.24,7.26,1.34
125,292444,Top Performer,229,375,13,8,3.47,2.13,61.54,2593.52,324.19,11.33,6.92,1.73
126,247948,Top Performer,64,92,19,9,20.65,9.78,47.37,2589.86,287.7622222222222,40.47,28.15,1.88
127,389158,Top Performer,466,567,38,12,6.7,2.12,31.58,2585.87,215.48916666666665,5.55,4.56,1.32
128,428257,Top Performer,275,399,17,8,4.26,2.01,47.06,2567.11,320.88875,9.33,6.43,1.54
129,123175,Top Performer,123,171,12,8,7.02,4.68,66.67,2560.15,320.01875,20.81,14.97,1.55
130,252344,Top Performer,209,299,13,8,4.35,2.68,61.54,2556.19,319.52375,12.23,8.55,1.53
131,219512,High Revenue,1390,1740,48,12,2.76,0.69,25.0,2552.25,212.6875,1.84,1.47,1.29
132,268755,Top Performer,149,234,11,7,4.7,2.99,63.64,2551.02,364.43142857142857,17.12,10.9,1.69
133,397642,Top Performer,154,225,20,7,8.89,3.11,35.0,2543.49,363.3557142857143,16.52,11.3,1.64
134,449489,Top Performer,165,295,16,8,5.42,2.71,50.0,2542.02,317.7525,15.41,8.62,1.93
135,210002,Top Performer,99,137,15,9,10.95,6.57,60.0,2535.35,281.7055555555555,25.61,18.51,1.63
136,165169,Top Performer,63,103,8,7,7.77,6.8,87.5,2533.59,361.9414285714286,40.22,24.6,1.87
137,448601,Top Performer,136,185,18,10,9.73,5.41,55.56,2527.83,252.783,18.59,13.66,1.57
138,76196,Top Performer,256,359,18,11,5.01,3.06,61.11,2527.36,229.76,9.87,7.04,1.52
139,325772,Top Performer,79,113,13,9,11.5,7.96,69.23,2517.45,279.71666666666664,31.87,22.28,1.71
140,148103,Top Performer,134,204,18,11,8.82,5.39,61.11,2512.12,228.37454545454543,18.75,12.31,1.74
141,445105,Top Performer,441,578,23,8,3.98,1.38,34.78,2511.53,313.94125,5.7,4.35,1.38
142,150547,Top Performer,169,242,15,9,6.2,3.72,60.0,2511.12,279.0133333333333,14.86,10.38,1.57
143,158666,Top Performer,640,764,68,9,8.9,1.18,13.24,2503.85,278.2055555555555,3.91,3.28,1.31
144,11279,Top Performer,337,443,21,10,4.74,2.26,47.62,2498.53,249.853,7.41,5.64,1.41
145,159780,Top Performer,238,335,14,11,4.18,3.28,78.57,2493.51,226.6827272727273,10.48,7.44,1.51
146,314789,Top Performer,203,345,14,9,4.06,2.61,64.29,2491.75,276.8611111111111,12.27,7.22,1.81
147,2463,Top Performer,127,165,15,7,9.09,4.24,46.67,2458.96,351.28000000000003,19.36,14.9,1.47
148,216266,Top Performer,68,81,11,9,13.58,11.11,81.82,2443.14,271.46,35.93,30.16,1.49
149,128745,Top Performer,190,249,13,8,5.22,3.21,61.54,2426.66,303.3325,12.77,9.75,1.42
150,159822,Top Performer,285,424,29,11,6.84,2.59,37.93,2415.45,219.5863636363636,8.48,5.7,1.63
151,208939,Top Performer,203,281,56,9,19.93,3.2,16.07,2410.11,267.79,11.87,8.58,1.7
152,459475,Top Performer,370,498,21,7,4.22,1.41,33.33,2390.96,341.5657142857143,6.46,4.8,1.42
153,26634,Top Performer,135,197,13,9,6.6,4.57,69.23,2380.71,264.5233333333333,17.63,12.08,1.62
154,456056,Top Performer,116,220,9,12,4.09,5.45,133.33,2370.99,197.5825,20.44,10.78,2.08
155,424506,Top Performer,169,239,19,10,7.95,4.18,52.63,2369.08,236.908,14.02,9.91,1.59
156,131385,Top Performer,87,107,26,8,24.3,7.48,30.77,2361.88,295.235,27.15,22.07,1.62
157,85914,Top Performer,316,423,15,8,3.55,1.89,53.33,2356.02,294.5025,7.46,5.57,1.41
158,438484,Top Performer,516,652,42,12,6.44,1.84,28.57,2353.88,196.15666666666667,4.56,3.61,1.37
159,133224,Top Performer,212,274,14,9,5.11,3.28,64.29,2352.9,261.43333333333334,11.1,8.59,1.4
160,232172,Top Performer,280,389,25,11,6.43,2.83,44.0,2348.2,213.47272727272727,8.39,6.04,1.52
161,411886,Top Performer,114,173,19,8,10.98,4.62,42.11,2346.02,293.2525,20.58,13.56,1.75
162,137697,Top Performer,231,308,15,8,4.87,2.6,53.33,2342.07,292.75875,10.14,7.6,1.43
163,166306,Top Performer,199,253,12,7,4.74,2.77,58.33,2327.81,332.5442857142857,11.7,9.2,1.37
164,242521,Top Performer,52,92,10,8,10.87,8.7,80.0,2326.28,290.785,44.74,25.29,2.12
165,16344,Top Performer,129,204,29,11,14.22,5.39,37.93,2325.99,211.45363636363635,18.03,11.4,1.89
166,193518,Top Performer,94,164,17,10,10.37,6.1,58.82,2323.16,232.316,24.71,14.17,2.03
167,304685,Top Performer,195,317,19,7,5.99,2.21,36.84,2321.77,331.68142857142857,11.91,7.32,1.76
168,432357,Top Performer,72,115,9,7,7.83,6.09,77.78,2320.88,331.5542857142857,32.23,20.18,1.82
169,220513,Top Performer,74,101,16,10,15.84,9.9,62.5,2316.52,231.652,31.3,22.94,1.72
170,134191,Top Performer,64,113,12,9,10.62,7.96,75.0,2290.41,254.49,35.79,20.27,2.09
171,244458,Top Performer,170,269,21,8,7.81,2.97,38.1,2288.03,286.00375,13.46,8.51,1.75
172,373842,Top Performer,151,221,16,9,7.24,4.07,56.25,2284.08,253.78666666666663,15.13,10.34,1.63
173,104560,Top Performer,95,118,15,7,12.71,5.93,46.67,2265.29,323.61285714285714,23.85,19.2,1.47
174,63543,Top Performer,252,326,21,7,6.44,2.15,33.33,2264.77,323.5385714285714,8.99,6.95,1.4
175,164035,Top Performer,113,170,17,9,10.0,5.29,52.94,2262.92,251.4355555555556,20.03,13.31,1.73
176,179290,Top Performer,84,108,13,9,12.04,8.33,69.23,2262.0,251.33333333333331,26.93,20.94,1.55
177,84310,Top Performer,310,382,18,6,4.71,1.57,33.33,2260.27,376.7116666666666,7.29,5.92,1.31
178,62275,Top Performer,84,118,9,9,7.63,7.63,100.0,2251.9300000000003,250.21444444444447,26.81,19.08,1.62
179,132633,Top Performer,8,3,0,7,0.0,233.33,0.0,2238.19,319.74142857142857,279.77,746.06,1.25
180,407078,Top Performer,88,128,12,6,9.38,4.69,50.0,2226.31,371.0516666666667,25.3,17.39,1.66
181,237422,Top Performer,225,270,19,8,7.04,2.96,42.11,2218.91,277.36375,9.86,8.22,1.32
182,79056,Top Performer,44,78,11,7,14.1,8.97,63.64,2216.52,316.6457142857143,50.38,28.42,2.18
183,137974,Top Performer,141,195,17,8,8.72,4.1,47.06,2209.59,276.19875,15.67,11.33,1.56
184,167126,Top Performer,112,157,16,9,10.19,5.73,56.25,2205.54,245.06,19.69,14.05,1.62
185,111530,High Revenue,953,1397,39,11,2.79,0.79,28.21,2201.16,200.1054545454545,2.31,1.58,1.52
186,187934,Top Performer,88,119,13,8,10.92,6.72,61.54,2195.21,274.40125,24.95,18.45,1.59
187,384470,Top Performer,99,147,6,7,4.08,4.76,116.67,2194.52,313.5028571428571,22.17,14.93,1.62
188,206241,Top Performer,79,145,11,8,7.59,5.52,72.73,2187.34,273.4175,27.69,15.09,2.08
189,442131,Top Performer,295,389,33,11,8.48,2.83,33.33,2186.78,198.79818181818183,7.41,5.62,1.47
190,188051,Top Performer,270,335,21,7,6.27,2.09,33.33,2186.42,312.3457142857143,8.1,6.53,1.34
191,212917,Top Performer,201,294,16,7,5.44,2.38,43.75,2179.38,311.34000000000003,10.84,7.41,1.58
192,302307,Top Performer,97,141,12,8,8.51,5.67,66.67,2174.7,271.8375,22.42,15.42,1.66
193,112782,High Revenue,906,1094,24,8,2.19,0.73,33.33,2167.94,270.9925,2.39,1.98,1.24
194,158912,Top Performer,94,177,19,9,10.73,5.08,47.37,2157.6,239.7333333333333,22.95,12.19,2.18
195,55955,Top Performer,50,75,8,6,10.67,8.0,75.0,2151.24,358.54,43.02,28.68,1.78
196,365015,Top Performer,129,186,25,10,13.44,5.38,40.0,2150.0,215.0,16.67,11.56,1.71
197,310702,Top Performer,160,195,17,7,8.72,3.59,41.18,2147.95,306.85,13.42,11.02,1.37
198,129279,Top Performer,75,108,13,7,12.04,6.48,53.85,2147.77,306.82428571428574,28.64,19.89,1.71
199,36864,Top Performer,74,115,4,6,3.48,5.22,150.0,2146.5,357.75,29.01,18.67,1.69
200,446522,Top Performer,228,315,15,11,4.76,3.49,73.33,2139.59,194.50818181818184,9.38,6.79,1.5
